handle,title,description,categories,crosspromotecategory,istaxable,isactive,isfeatured,shippingmethod,shippingfee,shippingfeeadditional,handlingfee,handlingfeeadditional,shippingfee_int,shippingfeeadditional_int,handlingfee_int,handlingfeeadditional_int,shippingfee_custom,shippingfeeadditional_custom,handlingfee_custom,handlingfeeadditional_custom,optionname1,optionname2,optionname3,optionname4,optionname5,optionvalue1,optionvalue2,optionvalue3,optionvalue4,optionvalue5,variantid,variant_name,weight,price,saleprice,sku,trackinventory,allowpurchase,stocklevel,seo_pagetitle,seo_keywords,seo_description,images
star-of-bethlehem-coverlet-queen-new,Star of Bethlehem Queen Coverlet - NEW,"<p>	         Double weave pattern. The earliest double weave coverlets in America date back to the 18th century.</p><p>	     This is a beautiful new Queen coverlet done in Indigo Blue, Olive, Mustard, Black or Rust on a natural background - the same as the originals!</p><p>	                   Queen Size - 90 x 98 - Reversible - Winter Weight</p><p>	                   Machine Wash - Cold;  Dry - Medium</p><p>	                   100% Cotton</p><p>	             Made in USA</p> <br>","81942,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,18540895,QUEEN BLACK,3.50,240.00,,BLACK-BETHLEHEM,true,true,1,Star of Bethlehem Queen Size Coverlet,Star of Bethlehem Queen Size CoverletHistoric pattern reproduction,Star of Bethlehem Queen Size Coverlet is a double woven winter weight coverlet.  ,"http://cdn.highwire.com/10173754-star-of-bethlehem-4.jpg, http://cdn.highwire.com/10173754-star-of-bethlehem-3.jpg, http://cdn.highwire.com/10173754-star-of-bethlehem-2.jpg, http://cdn.highwire.com/10173754-star-of-bethlehem.jpg"
star-of-bethlehem-coverlet-queen-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18540849,QUEEN INDIGO BLUE,3.50,240.00,,INDIGO-BETHLEHEM,true,true,1,,,,
star-of-bethlehem-coverlet-queen-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18540899,QUEEN MUSTARD,3.50,240.00,,MUSTARD-BETHLEHEM,true,true,1,,,,
star-of-bethlehem-coverlet-queen-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18540884,QUEEN OLIVE,3.50,240.00,,OLIVE-BETHLEHEM,true,true,1,,,,
star-of-bethlehem-coverlet-queen-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18540904,QUEEN RUST,3.50,240.00,,RUST-BETHLEHEM,true,true,0,,,,
festoon-curtains-jacobs-cross-flax,Jacob's Cross Festoon,"<span style=""color: rgb(255, 0, 0);""><br><p>	  Double Festoon Curtain</p><p>	  There are double draws located on each side of this wonderful curtain and a dowel is inserted in a pocket through the middle.  Lovely textured pattern originally woven by Jacob Angstadt in the 1800's.</p><p>	  This curtain is available in limited quantities in Flax color only.  Red shown in picture is not available.</p><p>	  Cotton/Acrylic/Poly - Machine wash warm, Dry medium</p><div>	<span style=""color: rgb(0, 0, 0);""></span></div> </span>","81942,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,12288406,Jacobs Cross Double Festoon,1.00,75.00,,Festoon-Flax,true,false,0,,,,http://cdn.highwire.com/6857612-jacobs-cross-festoon.jpg
willowtree--pumpkinblack,Willowtree - Pumpkin/Black,<p>	                                 100% Cotton - Reversible</p><p>	                                           Grade B</p>,,false,true,false,false,calculated,,,,,,,,,,,,,,,,,,,,,,,12021910,Fabric By Yard,2.00,0.00,,2063Y,false,false,10000,,,,
willowtree--pumpkinblack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12021911,Grade B w/ Furniture,0.00,0.00,,2063,false,false,10000,,,,
arlington-ecrublack,Willowtree - Pumpkin/Black,<p>	                                     100% Cotton - Reversible</p><p>	                                               Grade B</p>,,false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11955028,Fabric By Yard,2.00,45.00,,2063Y,false,false,10000,,,,http://cdn.highwire.com/6686845-dscf3137.jpg
arlington-ecrublack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11955027,Grade B w/ Furniture,0.00,0.00,,2063,false,false,10000,,,,
